stat,player,line,over,under
passing_tds,Bo Nix,1.5,-107,-119
passing_tds,Trevor Lawrence,1.5,114,-146
passing_yards,Bo Nix,226.5,-111,-113
passing_yards,Trevor Lawrence,222.5,-113,-111
receiving_yards,Parker Washington,58.5,-114,-110
receiving_yards,Jaylen Waddle,56.5,-110,-114
receiving_yards,Courtland Sutton,40.5,-112,-112
receiving_yards,Jakobi Meyers,36.5,-112,-112
receiving_yards,Pat Bryant,33.5,-114,-110
receiving_yards,Brian Thomas Jr,32.5,-112,-112
receiving_yards,Brenton Strange,30.5,-115,-109
receiving_yards,Evan Engram,24.5,-111,-113
receiving_yards,Bhayshul Tuten,9.5,-116,-108
receiving_yards,Adam Trautman,9.5,-111,-113
receptions,Parker Washington,4.5,-119,-108
receptions,Jaylen Waddle,4.5,-103,-124
receptions,Jakobi Meyers,3.5,-122,-105
receptions,Courtland Sutton,3.5,-104,-123
receptions,Brenton Strange,3.5,105,-133
receptions,Pat Bryant,3.5,125,-160
receptions,Evan Engram,2.5,-148,116
receptions,Brian Thomas Jr,2.5,-121,-106
receptions,Bhayshul Tuten,1.5,-108,-118
receptions,Adam Trautman,1.5,167,-215
rushing_yards,J.K. Dobbins,58.5,-111,-113
rushing_yards,Bhayshul Tuten,47.5,-111,-113
rushing_yards,Chris Rodriguez Jr.,25.5,-110,-114
rushing_yards,Bo Nix,18.5,-111,-113
rushing_yards,Trevor Lawrence,16.5,-107,-117
passing_tds,Justin Herbert,1.5,-120,-106
passing_tds,Kirk Cousins,1.5,198,-258
passing_yards,Justin Herbert,225.5,-111,-113
passing_yards,Kirk Cousins,192.5,-112,-112
receiving_yards,Quentin Johnston,51.5,-114,-110
receiving_yards,Michael Mayer,44.5,-112,-112
receiving_yards,Tre Tucker,34.5,-114,-110
receiving_yards,Jalen Nailor,32.5,-114,-110
receiving_yards,Tre Harris,31.5,-112,-112
receiving_yards,Ashton Jeanty,25.5,-114,-110
receiving_yards,David Njoku,24.5,-115,-110
receiving_yards,Oronde Gadsden II,16.5,-111,-113
receiving_yards,Omarion Hampton,10.5,-112,-112
receptions,Michael Mayer,5.5,107,-136
receptions,Quentin Johnston,4.5,127,-162
receptions,Ashton Jeanty,3.5,-154,121
receptions,Tre Tucker,3.5,115,-147
receptions,Tre Harris,2.5,-170,133
receptions,Jalen Nailor,2.5,-156,122
receptions,David Njoku,2.5,-149,117
receptions,Omarion Hampton,2.5,150,-193
receptions,Oronde Gadsden II,1.5,-158,124
rushing_yards,Ashton Jeanty,63.5,-112,-112
rushing_yards,Omarion Hampton,62.5,-112,-112
rushing_yards,Keaton Mitchell,22.5,-108,-116
rushing_yards,Justin Herbert,18.5,-114,-110
rushing_yards,Mike Washington Jr.,17.5,-107,-117
passing_tds,Drew Lock,1.5,151,-194
passing_tds,Jacoby Brissett,1.5,204,-266
passing_yards,Jacoby Brissett,218.5,-112,-112
passing_yards,Drew Lock,205.5,-113,-111
receiving_yards,Jaxon Smith-Njigba,81.5,-114,-110
receiving_yards,Trey McBride,62.5,-114,-110
receiving_yards,Michael Wilson,37.5,-109,-115
receiving_yards,Marvin Harrison Jr.,34.5,-111,-113
receiving_yards,Rashid Shaheed,24.5,-113,-111
receiving_yards,Kendrick Bourne,23.5,-113,-111
receiving_yards,AJ Barner,22.5,-114,-110
receiving_yards,Cooper Kupp,22.5,-111,-113
receiving_yards,Jeremiyah Love,16.5,-115,-109
receiving_yards,Jadarian Price,8.5,-107,-118
receptions,Jaxon Smith-Njigba,6.5,100,-128
receptions,Trey McBride,6.5,108,-138
receptions,Michael Wilson,3.5,-141,110
receptions,Marvin Harrison Jr.,3.5,118,-151
receptions,Jeremiyah Love,2.5,-162,126
receptions,Kendrick Bourne,2.5,-124,-103
receptions,AJ Barner,2.5,-115,-111
receptions,Cooper Kupp,2.5,134,-171
receptions,Rashid Shaheed,1.5,-193,150
receptions,Jadarian Price,1.5,-112,-114
rushing_yards,Jadarian Price,60.5,-114,-110
rushing_yards,Jeremiyah Love,36.5,-112,-112
rushing_yards,Tyler Allgeier,34.5,-115,-109
rushing_yards,George Holani,29.5,-108,-116
