player_name,season,mp,raptor_offense,raptor_defense
Troy Brown Jr.,2022,1092,-1.66,0.07
Jalen Brunson,2020,1022,1.29,0.88
Jalen Brunson,2021,1811,1.46,-0.1
Jalen Brunson,2022,3153,2.66,-0.54
Elijah Bryant,2021,82,-7.17,-0.24
Thomas Bryant,2020,1147,-0.37,-0.46
Thomas Bryant,2021,271,-0.37,-0.58
Thomas Bryant,2022,439,-2.76,-3.82
Shaq Buchanan,2022,10,-5.15,-1.67
Reggie Bullock,2020,684,-1.71,0.36
Reggie Bullock,2021,2111,-0.42,-0.12
Reggie Bullock,2022,2609,-0.21,-0.15
Trey Burke,2020,676,2.54,-0.44
Trey Burke,2021,928,-0.34,-1.36
Trey Burke,2022,478,-2.2,-0.53
Alec Burks,2020,1849,1.2,-1.03
Alec Burks,2021,1383,1.87,0.56
Alec Burks,2022,2318,1.07,1.44
Deonte Burton,2020,358,-7.58,-1.63
Jared Butler,2022,365,-1.95,0.1
Jimmy Butler,2020,2765,4.09,1.51
Jimmy Butler,2021,1899,3.81,2.29
Jimmy Butler,2022,2560,4.74,1.27
Bruno Caboclo,2020,251,-4.63,3.77
Bruno Caboclo,2021,36,-9.71,7.45
Devontae Cacok,2020,9,9.4,-14.99
Devontae Cacok,2021,98,0.17,2.3
Devontae Cacok,2022,121,1.62,3.97
Kentavious Caldwell-Pope,2020,2370,-0.14,-0.55
Kentavious Caldwell-Pope,2021,2048,-0.22,0.3
Kentavious Caldwell-Pope,2022,2329,-0.99,-0.12
Facundo Campazzo,2021,1695,-0.59,2.81
Facundo Campazzo,2022,1197,-2.48,1.43
Vlatko Cancar,2020,45,-1.08,0.29
Vlatko Cancar,2021,302,-4.66,-1.41
Vlatko Cancar,2022,185,-2.98,-0.14
Devin Cannady,2021,74,-0.22,-1.74
Devin Cannady,2022,145,0.65,-5.74
Clint Capela,2020,1279,-1.05,4.18
Clint Capela,2021,2467,0.81,5.21
Clint Capela,2022,2082,0.59,2.06
