season,team,team_name,win_total,over_odds,under_odds,p_over_novig,exp_wins,games
2024,WAS,Washington Commanders,6.5,-110,-110,0.5,6.5,17
2025,ARI,Arizona Cardinals,8.5,-125,105,0.5325,8.532,17
2025,ATL,Atlanta Falcons,8.5,110,-130,0.4573,8.457,17
2025,BAL,Baltimore Ravens,11.5,-118,-102,0.5174,11.517,17
2025,BUF,Buffalo Bills,12.5,115,-135,0.4474,12.447,17
2025,CAR,Carolina Panthers,6.5,-140,118,0.5598,6.56,17
2025,CHI,Chicago Bears,8.5,115,-140,0.4436,8.444,17
2025,CIN,Cincinnati Bengals,9.5,-115,-105,0.5108,9.511,17
2025,CLE,Cleveland Browns,4.5,-150,125,0.5745,4.574,17
2025,DAL,Dallas Cowboys,7.5,110,-130,0.4573,7.457,17
2025,DEN,Denver Broncos,9.5,-120,100,0.5217,9.522,17
2025,DET,Detroit Lions,10.5,110,-135,0.4532,10.453,17
2025,GB,Green Bay Packers,10.5,100,-130,0.4694,10.469,17
2025,HOU,Houston Texans,9.5,105,-125,0.4675,9.468,17
2025,IND,Indianapolis Colts,7.5,100,-120,0.4783,7.478,17
2025,JAX,Jacksonville Jaguars,7.5,-135,115,0.5526,7.553,17
2025,KC,Kansas City Chiefs,11.5,118,-140,0.4402,11.44,17
2025,LV,Las Vegas Raiders,6.5,-150,125,0.5745,6.574,17
2025,LAC,Los Angeles Chargers,9.5,100,-120,0.4783,9.478,17
2025,LA,Los Angeles Rams,9.5,-145,120,0.5656,9.566,17
2025,MIA,Miami Dolphins,7.5,-110,-110,0.5,7.5,17
2025,MIN,Minnesota Vikings,9.5,115,-140,0.4436,9.444,17
2025,NE,New England Patriots,8.5,-110,-110,0.5,8.5,17
2025,NO,New Orleans Saints,4.5,-145,120,0.5656,4.566,17
2025,NYG,New York Giants,5.5,-120,100,0.5217,5.522,17
2025,NYJ,New York Jets,6.5,120,-145,0.4344,6.434,17
2025,PHI,Philadelphia Eagles,11.5,105,-125,0.4675,11.468,17
2025,PIT,Pittsburgh Steelers,8.5,-120,100,0.5217,8.522,17
2025,SF,San Francisco 49ers,10.5,-102,-118,0.4826,10.483,17
2025,SEA,Seattle Seahawks,8.5,105,-125,0.4675,8.468,17
2025,TB,Tampa Bay Buccaneers,9.5,-115,-105,0.5108,9.511,17
2025,TEN,Tennessee Titans,6.5,120,-145,0.4344,6.434,17
2025,WAS,Washington Commanders,9.5,-105,-115,0.4892,9.489,17
