season,game_id,team,passer_player_id,n,epa,name
2019,2019_03_DET_PHI,DET,00-0026498,32,5.2533305042558265,M.Stafford
2019,2019_03_DET_PHI,PHI,00-0032950,39,3.0773154396926548,C.Wentz
2019,2019_03_HOU_LAC,HOU,00-0033537,36,20.535220017701647,D.Watson
2019,2019_03_HOU_LAC,LAC,00-0022942,51,4.111933337264597,P.Rivers
2019,2019_03_LA_CLE,CLE,00-0034855,39,-4.861868006893545,B.Mayfield
2019,2019_03_LA_CLE,LA,00-0033106,40,2.098128508112693,J.Goff
2019,2019_03_MIA_DAL,DAL,00-0033077,33,5.036249645610975,D.Prescott
2019,2019_03_MIA_DAL,MIA,00-0023682,2,2.3178906643297523,R.Fitzpatrick
2019,2019_03_MIA_DAL,MIA,00-0034343,42,-10.293725394654157,J.Rosen
2019,2019_03_NO_SEA,NO,00-0031237,27,9.242063632409554,T.Bridgewater
2019,2019_03_NO_SEA,SEA,00-0029263,49,10.084095305704977,R.Wilson
2019,2019_03_NYG_TB,NYG,00-0035710,42,4.792724654898014,D.Jones
2019,2019_03_NYG_TB,TB,00-0031503,40,9.63020344966007,J.Winston
2019,2019_03_NYJ_NE,NE,00-0019596,42,10.751856933755334,T.Brady
2019,2019_03_NYJ_NE,NE,00-0035264,4,-9.22778603178449,J.Stidham
2019,2019_03_NYJ_NE,NYJ,00-0034412,27,-16.799893592484295,L.Falk
2019,2019_03_OAK_MIN,LV,00-0031280,38,0.12349122913476762,D.Carr
2019,2019_03_OAK_MIN,MIN,00-0029604,21,8.07680048845334,K.Cousins
2019,2019_03_PIT_SF,PIT,00-0034771,29,-6.578894193888742,M.Rudolph
2019,2019_03_PIT_SF,SF,00-0031345,33,3.5850174798397347,J.Garoppolo
2019,2019_03_TEN_JAX,JAX,00-0035289,30,1.4990724810042115,G.Minshew
2019,2019_03_TEN_JAX,TEN,00-0032268,49,-6.715727513714228,M.Mariota
2019,2019_04_CAR_HOU,CAR,00-0034577,37,-7.515192479546621,K.Allen
2019,2019_04_CAR_HOU,HOU,00-0030564,1,-6.88184687262401,D.Hopkins
2019,2019_04_CAR_HOU,HOU,00-0033537,38,-16.4352380522188,D.Watson
2019,2019_04_CIN_PIT,CIN,00-0027973,45,-26.17844489023817,A.Dalton
